Loss development:

=> most between 0.65 - 0.7

=> exception: lstm v9

LSTM v7:

    experiment-logs/brussels-v0.4.2-single-zscore-binary/single-lstm-v7-zscore.log:[LOSS] nan
    experiment-logs/brussels-v0.4.2-single-zscore-binary/single-lstm-v7-zscore.log:[LOSS] nan
    experiment-logs/brussels-v0.4.2-single-zscore-binary/single-lstm-v7-zscore.log:[LOSS] nan

LSTM v8:

    experiment-logs/mac2/lstm-v7.log:[LOSS] 3.95452429256693e-06
    experiment-logs/mac2/lstm-v7.log:[LOSS] 3.244073723180918e-06
    experiment-logs/mac2/lstm-v7.log:[LOSS] 2.6251702056470096e-06
    experiment-logs/mac2/lstm-v6.log:[LOSS] 1.1920928955078125e-07
    experiment-logs/mac2/lstm-v6.log:[LOSS] 1.1920928955078125e-07
    experiment-logs/mac2/lstm-v6.log:[LOSS] 1.9804853366167662e-07
    experiment-logs/mac2/lstm-v8.log:[LOSS] 5.1722862226597495e-06
    experiment-logs/mac2/lstm-v8.log:[LOSS] 2.0477941761782858e-06
    experiment-logs/mac2/lstm-v8.log:[LOSS] 1.949107997461397e-06

LSTM v9:

    experiment-logs/mac2/lstm-v9.log:[LOSS] 0.6555843076705933
    experiment-logs/mac2/lstm-v9.log:[LOSS] 0.6525418858528137
    experiment-logs/mac2/lstm-v9.log:[LOSS] 0.651814793586731
    experiment-logs/mac2/lstm-v9.log:[LOSS] 0.6514826488494873
    experiment-logs/mac2/lstm-v9.log:[LOSS] 0.0047221042029559615
    experiment-logs/mac2/lstm-v9.log:[LOSS] 0.002121064009144902
    experiment-logs/mac2/lstm-v9.log:[LOSS] 0.0021279129367321728
    experiment-logs/mac2/lstm-v9.log:[LOSS] 0.0017699931981042028
    experiment-logs/mac2/lstm-v9.log:[LOSS] 5.744519138336182
    experiment-logs/mac2/lstm-v9.log:[LOSS] 0.001956060971133411
